"Name","Mammals","Birds","Reptiles*","Amphibians","Fishes*","Molluscs*","Other Inverts*","Plants*","Fungi*","Chromists*","Total"
"South Africa","33","54","25","17","157","30","278","474","0","0","1,068"
"South Sudan","18","28","5","0","0","0","2","28","0","0","81"
"Sudan","20","30","6","0","56","0","121","18","0","0","251"
"Tanzania, United Republic of","45","48","40","66","228","11","203","1,109","2","0","1,752"
"Togo","16","17","9","2","68","4","1","15","0","0","132"
"Uganda","32","38","8","2","55","17","17","175","0","0","344"
"Zambia","13","24","4","0","27","12","1","70","2","0","153"
"Zimbabwe","10","23","5","6","5","0","7","82","0","0","138"
"Afghanistan","12","19","3","1","8","0","2","13","0","0","58"
"Armenia","7","16","7","0","2","0","6","82","0","0","120"
"Azerbaijan","7","21","8","1","12","1","5","50","1","0","106"
"Bahrain","3","13","3","0","39","0","32","0","0","0","90"
"Cyprus","7","11","2","1","42","9","18","23","3","0","116"
"Georgia","10","18","6","0","12","2","12","74","6","0","140"
"Iran, Islamic Republic of","18","29","14","5","82","1","43","21","0","0","213"
"Iraq","13","19","3","2","49","0","33","4","0","0","123"
"Israel","17","21","9","1","91","12","136","40","2","0","329"
"Jordan","14","18","6","0","36","6","125","9","0","0","214"
"Kazakhstan","15","28","1","2","21","1","6","22","1","0","97"
"Kuwait","7","14","3","0","41","0","31","0","0","0","96"
"Kyrgyzstan","5","19","3","1","9","0","4","23","0","0","64"
"Lebanon","10","13","8","0","43","10","9","101","0","0","194"
"Oman","9","16","7","0","83","3","63","9","0","0","190"
"Pakistan","24","34","16","1","122","0","25","23","1","0","246"
"Palestine, State of","7","18","3","0","19","1","3","12","0","0","63"
"Qatar","4","14","3","0","46","0","32","0","0","0","99"
"Saudi Arabia","10","21","2","0","78","2","135","5","0","0","253"
"Syrian Arab Republic","15","19","10","0","66","10","13","45","0","0","178"
"Tajikistan","8","17","7","0","5","0","3","21","1","0","62"
"Türkiye","18","23","19","12","148","44","49","147","9","0","470"
"Turkmenistan","8","21","6","0","11","1","6","7","0","0","60"
"United Arab Emirates","8","16","4","0","57","0","36","0","0","0","121"
"Uzbekistan","8","20","10","0","7","1","2","27","0","0","75"
"Yemen","12","19","6","0","72","2","150","169","0","0","430"
